IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1999,Male,10 to 19 years,8.1423394,3.5479788,14.574216
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2002,Male,10 to 19 years,9.6524239,4.9077578,15.881965
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2006,Male,10 to 19 years,11.796314,7.2151154,17.146485
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2007,Male,10 to 19 years,12.311788,7.8948788,17.385994
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2010,Male,10 to 19 years,14.108427,10.122824,18.660593
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2012,Male,10 to 19 years,15.323704,11.065818,20.04583
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2014,Male,10 to 19 years,16.320935,11.199709,22.089198
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2018,Male,10 to 19 years,18.189859,10.009739,27.662358
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2019,Male,10 to 19 years,18.761829,9.5474944,29.540086
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2022,Male,10 to 19 years,20.401907,8.1198372,34.830332
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1997,Female,10 to 19 years,9.2428468,4.3140765,15.854728
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2000,Female,10 to 19 years,10.544205,5.4905791,17.044613
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2002,Female,10 to 19 years,11.416677,6.3908294,17.688608
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2003,Female,10 to 19 years,11.851859,6.8702817,18.019426
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2009,Female,10 to 19 years,14.583518,10.152068,19.88436
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2013,Female,10 to 19 years,16.813421,11.858551,22.259504
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2017,Female,10 to 19 years,19.439811,12.303794,27.263868
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2019,Female,10 to 19 years,20.792238,12.297175,30.450737
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1992,Male,10 to 19 years,5.2746911,1.6446479,11.514406
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1995,Male,10 to 19 years,6.4378269,2.3519095,12.828667
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2008,Male,10 to 19 years,12.865132,8.6426944,17.671017
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2015,Male,10 to 19 years,16.746542,10.992326,23.161334
